nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2024-09-22 09:07:53 ................................................... ~ 1s
  2024-09-22 09:07:54 ................................................... ~ 0s

   WARN  13.91.241.182:36674 Invalid request (Unexpected EOF).  

  2024-09-22 09:09:00 .................................................. ~ 10s
  2024-09-22 09:11:47 ................................................... ~ 1s
  2024-09-22 09:11:48 ................................................... ~ 0s
  2024-09-22 09:12:07 ................................................... ~ 1s
  2024-09-22 09:12:08 ................................................... ~ 0s
  2024-09-22 09:12:34 ................................................... ~ 0s
  2024-09-22 09:12:34 ................................................... ~ 1s
  2024-09-22 09:15:51 ................................................... ~ 0s
  2024-09-22 09:15:51 ................................................... ~ 0s
  2024-09-22 09:15:51 ................................................... ~ 0s
  2024-09-22 09:15:51 ................................................... ~ 1s
  2024-09-22 09:15:52 ................................................... ~ 0s
  2024-09-22 09:15:52 ................................................... ~ 1s
  2024-09-22 09:15:53 ................................................... ~ 0s
  2024-09-22 09:15:53 ................................................... ~ 0s
  2024-09-22 09:15:53 ................................................... ~ 0s
  2024-09-22 09:15:53 ................................................... ~ 1s
  2024-09-22 09:15:55 ................................................... ~ 0s
  2024-09-22 09:15:55 ................................................... ~ 0s
  2024-09-22 09:16:23 ................................................... ~ 0s
  2024-09-22 09:16:24 ................................................... ~ 0s
  2024-09-22 09:21:07 ................................................... ~ 1s
  2024-09-22 09:22:23 ................................................... ~ 1s
  2024-09-22 09:22:24 ................................................... ~ 0s
  2024-09-22 09:22:24 ................................................... ~ 0s
  2024-09-22 09:22:24 ................................................... ~ 1s
  2024-09-22 09:22:25 ................................................... ~ 0s
  2024-09-22 09:22:25 ................................................... ~ 0s
  2024-09-22 09:22:25 ................................................... ~ 0s
  2024-09-22 09:22:25 ................................................... ~ 0s
  2024-09-22 09:22:25 ................................................... ~ 1s
  2024-09-22 09:22:25 ................................................... ~ 1s
  2024-09-22 09:22:26 ................................................... ~ 0s
  2024-09-22 09:22:26 ................................................... ~ 1s
  2024-09-22 09:22:36 ................................................... ~ 0s
  2024-09-22 09:22:36 ................................................... ~ 0s
  2024-09-22 09:22:39 ................................................... ~ 0s
  2024-09-22 09:22:39 ................................................... ~ 0s
  2024-09-22 09:23:30 ................................................... ~ 0s
  2024-09-22 09:23:30 ................................................... ~ 0s
  2024-09-22 09:23:30 ................................................... ~ 0s
  2024-09-22 09:23:30 ................................................... ~ 1s
  2024-09-22 09:23:39 ................................................... ~ 1s
  2024-09-22 09:23:40 ................................................... ~ 2s
  2024-09-22 09:23:50 ................................................... ~ 0s
  2024-09-22 09:23:50 ................................................... ~ 1s
  2024-09-22 09:23:51 ................................................... ~ 0s
  2024-09-22 09:23:51 ................................................... ~ 0s
  2024-09-22 09:23:51 ................................................... ~ 1s
  2024-09-22 09:23:51 ................................................... ~ 1s
  2024-09-22 09:23:52 ................................................... ~ 1s
  2024-09-22 09:23:52 ................................................... ~ 1s
  2024-09-22 09:23:53 ................................................... ~ 1s
  2024-09-22 09:23:54 ................................................... ~ 0s
  2024-09-22 10:00:19 ................................................... ~ 0s
  2024-09-22 10:08:37 ................................................... ~ 0s
  2024-09-22 10:33:03 ................................................... ~ 0s
  2024-09-22 10:33:03 ................................................... ~ 0s
